Boat Motors,,,,,,,,,,,,,,
Voltage,12v,180v,24v,3v,6v,220v,380v,,,,,,,
Power,3.7kw,120w,40w,2.2kw,5w,750w,60w,1.5w,1250kw ,2800kW,2.58W,5hp,3hp,80 W
Speed,5rpm,6000rpm,1750rpm,3000rpm,1800 Rpm,2000rpm,18500rpm,1rpm,0.1rpm,1500rpm,9000rpm,100rpm,1000rpm,8000rpm
Phase,three phase,single phase,,,,,,,,,,,,
Frequency,50hz,60hz,,,,,,,,,,,,
Usage,boat,car,Water,Electric Car,Outboard Motors,Electric Bicycle,marine genset,Electric Bicycle,Vibrating Screen,CD,solar power,feeder,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
