Commutator Motors,,,,,,,,,,
Voltage,230v,240v,115v,208v,110v,24v,48v,120v,100v,220v
Power,ac/dc,2200w,390w,600w,0.5w,400w,201w,500w,560w 3/4hp,
Speed ,2800rpm,high speed,3600rpm,1450rpm,constant speed,960rpm,1480rpm,2960rpm,2900rpm,1400rpm
Phase,single-phase,three-phase,,,,,,,,
Frequency,50hz,60hz,3.5,,,,,,,
Usage,commutator motor,"fan,home appliance",industrial,"car,electric bicycle",household appliance,transformer,"blender juicer,food processor",,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
