Hydraulic Motors,,,,,,,,,,
Voltage,380v,208v,230v,240v,100v,660v,110v,22v,220v,
Power,contin1.8kw,contin2.4kw,11kw,7.5kw,2kw,5kw,11kw,12.7kw,18.5kw,0.8kw
Speed ,2900rpm,154rpm,625rpm,120rpm,1500rpm,low speed,4500rpm,,,
Phase,three-phase,single-phase,,,,,,,,
Frequency,50hz,60hz,,,,,,,,
Usage,water,water pump,hydraulic equipment ,universal,pump,balancing machine,auto,concrete mixer,industrial,water well
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
