Outboard Motors,,,,,,,,,,,,,,,,,,,,,
voltage,380v,240v,208V,230V,1ph100v,415v,660v,115V,120v,220v,,,,,,,,,,,
power,11kw,1.5kw,0.18KW,315kw,0.15kw,60w,2.2kw,10w,25w,2.2kw,,,,,,,,,,,
speed,high speed ,2900rpm, 1400rpm ,960rpm,660rpm,3600rpm,constant speed,4500rpm,5500rpm,3800rpm ,,,,,,,,,,,
phase,single-phase,three-phase,,,,,,,,,,,,,,,,,,,
frequency,50hz,60hz,3.5hz,,,,,,,,,,,,,,,,,,
usage,boat,metal cutting,universal,propelling small watercraft,industrial,water,pump,household appliance,For Fishing, Car,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
