Permanent Magnet Motors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
voltage,220v,24v,12v,36 V,3v,48v,90v,6V,1.5v,380v,,,,,,,,,,,,,,,,,,,,,,,,,,
power,10w,15w,500w,100w,300w,50w,200w,750w,0.5w,2.0w,,,,,,,,,,,,,,,,,,,,,,,,,,
speed,2600rpm,1000rpm,10000rpm,1800rpm,1rpm,2700rpm,10rpm,1500rpm,192rpm,1750rpm,,,,,,,,,,,,,,,,,,,,,,,,,,
phase,three-phase ,single-phase ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frequency,50hz,60hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usage,water,electric bicycle,home appliance,car,fan,boat,for industrial machines,Sweeper,window,sofa,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
