Sewing Machine Motors,,,,,,,,,,
Voltage,208v,230v,240v,380v,115v,120v,110v,220v,460v,480v
Power,250w,40w,1500w,100w,750w,0.75kw,50w,1.5kw,0.4kw,0.12kw
Speed ,1400rpm,,,,,,,,,
Phase,three-phase,single-phase,,,,,,,,
Frequency,50hz,60hz,25hz,,,,,,,
Usage,sewing machine,universal,household,industrial ,"home appliance,sewing machine",household appliance,speed sensor,auto,yd motor,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
