Spindle Motors,,,,,,,,,,
Voltage,220v,380v,110v,38v,330v,ac380v,ac220v,,,
Power,2.2kw,1.5kw,24000w,3kw,5.5kw,1500w,0.8kw,9kw,1kw,200kw
Speed,18000rpm,12000rpm,24000rpm,9000rpm,800rpm,1500rpm,18000rpm,10000rpm,60000rpm,80000rpm
Phase,three-phase,single-phase,,,,,,,,
Frequency,400hz,50hz,50/60hz,300hz,10000hz,330hz,700hz,,,
Usage,water,water cooled spindle motor,universal,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
