Traction Motors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
voltage,380v,60v,3kv,13.8kv,240v,400v,6000v,10000v,208v,230v,,,,,,,,,,,,,,,,,,,
power,200kw,14000kw,450w,500w,1500w,7.5kw,750w,200w,5kw,3kw,,,,,,,,,,,,,,,,,,,
speed,2.5rpm,0.4rpm,0.5rpm,8rpm,2800rpm,1.5rpm,1rpm,960rpm,variable speed,1540rpm,,,,,,,,,,,,,,,,,,,
phase,three-phase,single-phase,,,,,,,,,,,,,,,,,,,,,,,,,,,
frequency,50hz,60hz,5hz,100hz,27.5hz,95hz,,,,,,,,,,,,,,,,,,,,,,,
usage,elevator,residential elevators,industrial,golf car,field vehicle,mining locomotive,passenger elevator,construction hoist,car,farm tractor,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
