Universal Motors,,,,,,,,,,,,,,,,,,,,,,,,,,
voltage,240v,230v,110v,208v,380v,100v,120v,115v,660v,120v,,,,,,,,,,,,,,,,
power,1000w,50w,60w,300w,250w,0.75kw,200w,350w,150w,600w,,,,,,,,,,,,,,,,
speed,high speed,constant speed,2900rpm,1400rpm,960rpm,660rpm,2960r/min,low speed,1812rpm,3643rpm,,,,,,,,,,,,,,,,
phase,single-phase,three-phase,,,,,,,,,,,,,,,,,,,,,,,,
frequency,50hz,60hz,315mhz,433.92mhz,,,,,,,,,,,,,,,,,,,,,,
usage,universal,home appliance,industrial,fan,balancing machine,universal testing machinine,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
