Vibration Motors,,,,,,,,,,,,,,
voltage,24v,690v,9kw,208v,230v,240v,380v,220v,415v,525v,,,,
power,0.2kw,20kw,1500w,0.12kw,0.75kw,11kw,2.2kw,0.25kw,0.18kw,9kw,,,,
speed,high speed,3000rpm,constant speed,750rpm,variable speed ,960rpm,9000rpm,15000rpm,1000rpm,1500rpm,,,,
phase,three-phase,single-phase,,,,,,,,,,,,
frequency,50hz,60hz,,,,,,,,,,,,
usage,sex toy,industrial,home appliance,universal,impact testing machibne,vibrating screen,feeder,boat,car,massger,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
